Time, Mass, Net Force, Y-Acceleration, Y-velocity, Altitude
0.125000, 541300.000000, 1503527.628954, 2.777624, 0.347203, 0.043400
0.250000, 541300.000000, 1503526.882578, 2.777622, 0.694406, 0.130201
0.375000, 541300.000000, 1503524.571342, 2.777618, 1.041608, 0.260402
0.500000, 541300.000000, 1503520.695339, 2.777611, 1.388809, 0.434003
0.625000, 541300.000000, 1503515.254719, 2.777601, 1.736009, 0.651004
0.750000, 541300.000000, 1503508.249685, 2.777588, 2.083208, 0.911405
0.875000, 541300.000000, 1503499.680496, 2.777572, 2.430404, 1.215206
1.000000, 541300.000000, 1503489.547469, 2.777553, 2.777598, 1.562406
1.125000, 538837.654321, 1527598.511487, 2.834988, 3.131972, 1.953902
1.250000, 538837.654321, 1527584.945440, 2.834963, 3.486342, 2.389695
1.375000, 538837.654321, 1527569.749632, 2.834935, 3.840709, 2.869784
1.500000, 538837.654321, 1527552.924624, 2.834904, 4.195072, 3.394168
1.625000, 538837.654321, 1527534.471037, 2.834870, 4.549431, 3.962847
1.750000, 538837.654321, 1527514.389551, 2.834832, 4.903785, 4.575820
1.875000, 538837.654321, 1527492.680905, 2.834792, 5.258134, 5.233087
2.000000, 538837.654321, 1527469.345898, 2.834749, 5.612478, 5.934646
2.125000, 536375.308642, 1551565.012840, 2.892685, 5.974063, 6.681404
2.250000, 536375.308642, 1551537.836428, 2.892635, 6.335643, 7.473359
2.375000, 536375.308642, 1551508.967310, 2.892581, 6.697215, 8.310511
2.500000, 536375.308642, 1551478.406565, 2.892524, 7.058781, 9.192859
2.625000, 536375.308642, 1551446.155335, 2.892464, 7.420339, 10.120401
2.750000, 536375.308642, 1551412.214822, 2.892401, 7.781889, 11.093137
2.875000, 536375.308642, 1551376.586293, 2.892334, 8.143431, 12.111066
3.000000, 536375.308642, 1551339.271075, 2.892265, 8.504964, 13.174187
3.125000, 533912.962963, 1575420.843271, 2.950707, 8.873802, 14.283412
3.250000, 533912.962963, 1575379.272465, 2.950629, 9.242631, 15.438741
3.375000, 533912.962963, 1575335.948403, 2.950548, 9.611449, 16.640172
3.500000, 533912.962963, 1575290.872726, 2.950464, 9.980257, 17.887704
3.625000, 533912.962963, 1575244.047146, 2.950376, 10.349054, 19.181336
3.750000, 533912.962963, 1575195.473438, 2.950285, 10.717840, 20.521066
3.875000, 533912.962963, 1575145.153441, 2.950191, 11.086614, 21.906893
4.000000, 533912.962963, 1575093.089061, 2.950093, 11.455375, 23.338814
4.125000, 531450.617284, 1599159.778127, 3.009047, 11.831506, 24.817753
4.250000, 531450.617284, 1599103.039105, 3.008940, 12.207624, 26.343706
4.375000, 531450.617284, 1599044.489114, 3.008830, 12.583727, 27.916672
4.500000, 531450.617284, 1598984.130414, 3.008716, 12.959817, 29.536649
4.625000, 531450.617284, 1598921.965332, 3.008599, 13.335892, 31.203635
4.750000, 531450.617284, 1598857.996263, 3.008479, 13.711952, 32.917629
4.875000, 531450.617284, 1598792.225672, 3.008355, 14.087996, 34.678629
5.000000, 531450.617284, 1598724.656092, 3.008228, 14.464025, 36.486632
5.125000, 528988.271605, 1622775.686568, 3.067697, 14.847487, 38.342568
5.250000, 528988.271605, 1622703.019394, 3.067560, 15.230932, 40.246434
5.375000, 528988.271605, 1622628.486845, 3.067419, 15.614359, 42.198229
5.500000, 528988.271605, 1622552.091845, 3.067274, 15.997768, 44.197950
5.625000, 528988.271605, 1622473.837386, 3.067126, 16.381159, 46.245595
5.750000, 528988.271605, 1622393.726538, 3.066975, 16.764531, 48.341161
5.875000, 528988.271605, 1622311.762437, 3.066820, 17.147883, 50.484647
6.000000, 528988.271605, 1622227.948295, 3.066661, 17.531216, 52.676049
6.125000, 526525.925926, 1646262.561422, 3.126651, 17.922047, 54.916305
6.250000, 526525.925926, 1646173.223868, 3.126481, 18.312858, 57.205412
6.375000, 526525.925926, 1646081.970310, 3.126308, 18.703646, 59.543368
6.500000, 526525.925926, 1645988.804389, 3.126131, 19.094412, 61.930169
6.625000, 526525.925926, 1645893.729816, 3.125950, 19.485156, 64.365814
6.750000, 526525.925926, 1645796.750379, 3.125766, 19.875877, 66.850298
6.875000, 526525.925926, 1645697.869940, 3.125578, 20.266574, 69.383620
7.000000, 526525.925926, 1645597.092437, 3.125387, 20.657247, 71.965776
7.125000, 524063.580247, 1669614.550057, 3.185901, 21.055485, 74.597712
7.250000, 524063.580247, 1669507.821534, 3.185697, 21.453697, 77.279424
7.375000, 524063.580247, 1669399.130645, 3.185490, 21.851883, 80.010909
7.500000, 524063.580247, 1669288.481797, 3.185279, 22.250043, 82.792165
7.625000, 524063.580247, 1669175.879469, 3.185064, 22.648176, 85.623187
7.750000, 524063.580247, 1669061.328221, 3.184845, 23.046282, 88.503972
